Alpha,SNP_A,SNP_B,SNP_C
0.505413,N20,N33,M1T3
0.505409,N3,N9,N39
0.505407,N28,N34,M2Q2
0.505407,N22,N29,M0P1
0.505406,N2,N6,N11
0.505401,N7,N22,M2Q4
0.505400,N7,M1T2,M2Q2
0.505395,N18,M1T3,M2Q1
0.505393,N11,N20,M1T3
0.505392,N7,N34,M1T3
0.505387,N13,M1T2,M2Q2
0.505378,N9,N12,M2Q1
0.505378,N18,N27,M1T3
0.505374,N33,N34,M1T3
0.505372,N27,M1T2,M2Q2
0.505371,N18,N19,N35
0.505368,N24,N34,M2Q2
0.505365,N7,N23,N31
0.505363,N11,M1T3,M2Q1
0.505361,N11,N15,N31
0.505359,N18,N33,N35
0.505348,N22,N31,N34
0.505344,N33,M1T3,M2Q3
0.505337,N31,N40,M2Q3
0.505337,N11,N18,N28
0.505336,N9,N11,N12
0.505334,N4,N18,N35
0.505331,N31,N38,M2Q3
0.505331,N31,N37,M2Q3
0.505324,N29,N37,M2Q4
0.505322,N7,N31,M2Q2
0.505319,N16,N31,M1T2
0.505317,N6,N7,N18
0.505316,N7,M0P2,M1T3
0.505309,N9,N38,M0P1
0.505309,N6,N11,N24
0.505305,N33,N37,M1T3
0.505305,N29,N31,M2Q3
0.505302,N18,N29,N36
0.505301,N7,N31,N35
0.505300,N21,N33,M1T3
0.505299,N14,M1T2,M2Q2
0.505297,N7,N28,N36
0.505295,N18,N28,M1T1
0.505292,N18,N38,M0P1
0.505290,N18,N23,M1T3
0.505288,N27,N31,M2Q3
0.505285,N4,N7,M1T3
0.505285,N2,N11,M1T3
0.505285,N24,N36,M2Q2
0.505284,N38,M0P1,M1T2
0.505283,N13,N18,M2Q3
0.505283,N11,N13,N22
0.505278,N7,N39,M1T3
0.505274,N17,N31,N37
0.505274,N11,N24,N39
0.505267,N33,M1T2,M2Q2
0.505266,N6,N18,N35
0.505265,N2,M0P1,M2Q1
0.505265,N24,M0P1,M1T3
0.505262,N14,N20,M1T3
0.505259,N33,M1T3,M2Q2
0.505257,N4,N18,N31
0.505256,N7,N26,N31
0.505255,N7,N29,M2Q3
0.505246,N7,M1T3,M2Q1
0.505244,N18,N32,N35
0.505244,N18,N24,N36
0.505243,N13,N34,M1T3
0.505238,N2,N7,M2Q3
0.505231,N28,N39,M1T2
0.505228,N11,N31,M1T3
0.505226,N4,N7,N31
0.505226,N39,N40,M1T3
0.505226,N18,N31,N33
0.505225,N12,N18,N20
0.505225,M1T2,M2Q1,M2Q2
0.505224,N38,M0P1,M2Q3
0.505221,N36,M0P2,M2Q3
0.505221,N31,M2Q2,M2Q3
0.505221,N12,N24,N39
0.505220,N11,N22,M2Q4
0.505219,N26,M1T2,M1T3
0.505218,N7,N31,N34
0.505214,N39,M1T2,M2Q2
0.505208,N33,N36,M1T3
0.505207,N6,N7,N31
0.505207,N18,M1T1,M2Q3
0.505202,N2,N24,M1T3
0.505201,N19,N24,M1T3
0.505199,N6,N11,N36
0.505199,N31,N37,M2Q1
0.505195,N12,N18,M1T1
0.505192,N6,N11,N14
0.505191,N20,N22,N34
0.505190,N12,N20,N31
0.505182,N7,N13,N36
0.505181,N31,N39,M2Q3
0.505180,N7,N18,M2Q2
0.505175,N2,N7,N31
0.505175,N22,M1T2,M2Q4
0.505175,N16,N36,M2Q3
0.505173,N7,N36,N39
0.505169,N7,N9,N36
0.505167,N31,N38,M0P1
0.505164,N31,N35,M2Q4
0.505164,N29,N38,M2Q3
0.505163,N11,N15,M1T3
0.505157,N24,N31,M2Q3
0.505153,N7,N32,N36
0.505153,M0P2,M1T3,M2Q4
0.505153,M0P2,M1T3,M2Q1
0.505151,N7,N23,N36
0.505151,N12,N20,N35
0.505147,N18,N35,N36
0.505145,N2,N12,N24
0.505143,N7,N37,M1T3
0.505142,N18,N31,N35
0.505140,N7,N13,N31
0.505140,N6,N7,N36
0.505137,N28,N33,M1T3
0.505133,N33,M1T3,M2Q4
0.505133,N16,N33,M1T3
0.505132,N26,N34,M1T3
0.505130,N7,N36,M1T2
0.505128,N7,N26,M1T3
0.505128,N22,M2Q3,M2Q4
0.505121,N2,N24,N36
0.505120,N7,N20,N35
0.505120,N3,N39,M1T3
0.505113,N19,N38,M0P1
0.505110,N6,N11,M0P1
0.505109,N18,N22,M0P1
0.505109,N16,N33,M1T2
0.505107,N18,N31,M0P1
0.505104,N24,N36,M1T3
0.505102,N11,N18,N22
0.505101,N17,N31,M2Q3
0.505100,N19,N31,N37
0.505099,N7,M2Q2,M2Q3
0.505099,N18,N35,M2Q1
0.505098,N10,N18,M1T2
0.505094,N9,N33,M1T3
0.505092,N29,N40,M2Q3
0.505092,N24,N34,N36
0.505092,N18,M0P1,M1T3
0.505089,N22,N26,M1T3
0.505085,N7,N11,N31
0.505085,N18,N20,N33
0.505085,N16,N31,M2Q1
0.505083,N4,N7,N15
0.505080,N10,M1T2,M1T3
0.505079,N2,N11,N36
0.505079,N13,N18,M1T3
0.505077,N9,N12,M1T1
0.505077,N18,N33,M0P1
0.505076,N7,N11,M1T3
0.505075,N7,N37,M2Q3
0.505075,N29,N31,M0P2
0.505075,N16,N20,N35
0.505073,N2,N16,M1T2
0.505063,N31,M2Q1,M2Q3
0.505061,N26,N29,N31
0.505059,N28,N31,N34
0.505056,N11,N20,N31
0.505053,N15,N31,N34
0.505050,N2,N11,N22
0.505049,N24,N31,N37
0.505048,N31,N37,N38
0.505046,N20,N22,M0P2
0.505046,N11,N31,M2Q3
0.505041,N28,N31,M2Q3
0.505039,N7,N31,N39
0.505037,N34,M1T2,M2Q2
0.505036,N2,N24,N31
0.505036,N24,N36,M1T1
0.505031,N34,M1T3,M2Q2
0.505031,N16,N20,N22
0.505030,N26,M0P2,M1T3
0.505029,N36,M2Q2,M2Q3
0.505024,N7,N20,N29
0.505022,N6,N11,N35
0.505021,N15,N32,N36
0.505019,N36,N38,M0P1
0.505018,N7,N18,M2Q3
0.505018,N2,N24,M1T1
0.505018,N19,N22,N37
0.505017,N9,N20,N39
0.505017,N10,M0P2,M1T3
0.505015,N31,N36,M2Q3
0.505014,N11,N18,N30
0.505011,N7,N36,N38
0.505008,N7,N30,N31
0.505008,N7,N16,M1T3
0.505007,N18,N20,N22
0.505005,N22,N33,M2Q4
0.505003,N15,N24,N36
0.505001,N7,N35,M1T3
0.505000,N7,N22,N37
0.505000,N6,N31,M1T3
0.505000,N6,N11,N29
0.504998,N22,N35,M1T2
0.504998,N15,N31,M2Q3
0.504998,N10,M1T1,M1T3
0.504997,N15,N36,M1T3
0.504997,N12,N18,N39
0.504996,N22,N37,M2Q3
0.504993,N7,N24,N31
0.504993,N18,N19,M1T3
0.504990,N33,N36,M2Q3
0.504989,N6,N18,N22
0.504989,N11,N36,M1T1
0.504988,N31,N35,M1T1
0.504988,N24,N33,M1T3
0.504987,N18,N20,M1T1
0.504986,N31,N33,N37
0.504985,N7,N29,N36
0.504985,N3,N7,N36
0.504985,M1T1,M1T3,M2Q3
0.504984,N36,M2Q3,M2Q4
0.504984,N11,N12,N39
0.504983,N24,M1T1,M1T3
0.504982,N7,N31,N33
0.504981,N30,N31,M2Q1
0.504979,N26,M1T2,M2Q2
0.504979,N15,M1T1,M1T3
0.504978,N29,N31,N37
0.504978,N13,N22,M2Q4
0.504976,N9,N12,N20
0.504973,N24,N31,M0P2
0.504972,N7,N9,M1T3
0.504970,N6,N9,N11
0.504970,N14,N40,M1T3
0.504968,N2,N31,N36
0.504967,N6,N11,N39
0.504967,N14,N33,M1T3
0.504962,N18,N20,N39
0.504962,N11,N22,M1T3
0.504961,N2,N11,N31
0.504958,N6,N11,M2Q2
0.504956,N24,N31,N36
0.504955,N12,N22,N39
0.504953,N33,M1T2,M1T3
0.504953,N22,N30,N34
0.504952,N11,N24,M1T3
0.504951,N7,N23,M2Q3
0.504947,N7,N22,N31
0.504947,N24,N30,M1T3
0.504945,N7,N27,N36
0.504945,N31,M1T2,M1T3
0.504942,N4,N6,N11
0.504942,N20,N34,M1T3
0.504938,N7,N28,M1T3
0.504937,N8,N33,M1T3
0.504937,N24,N30,M0P2
0.504935,N4,N35,M2Q4
0.504932,N31,N32,M2Q3
0.504932,N31,M0P1,M2Q2
0.504927,N7,N12,N31
0.504927,N11,N22,N34
0.504924,N10,N18,N38
0.504923,N2,N20,N22
0.504923,N15,N18,N31
0.504922,N2,N22,N24
0.504922,N20,N22,N35
0.504915,N9,N15,M1T3
0.504914,N20,N35,M2Q1
0.504913,N12,N37,M1T1
0.504911,N7,N36,N37
0.504911,N7,N19,N31
0.504910,N7,N9,M2Q3
0.504909,N6,N11,N17
0.504909,N11,N36,N40
0.504904,N38,M0P1,M2Q1
0.504902,N32,N35,N37
0.504901,N7,M1T2,M1T3
0.504900,N2,N12,M0P1
0.504899,N18,N35,M1T2
0.504899,N12,N20,N38
0.504898,N16,N18,N20
0.504897,N7,N22,M2Q3
0.504895,N7,N22,M2Q1
0.504893,N26,M1T3,M2Q1
0.504892,N6,N11,N23
0.504891,N40,M2Q3,M2Q4
0.504890,N7,N12,N36
0.504890,N22,N28,M1T2
0.504888,N13,N31,N34
0.504888,N12,N39,M2Q1
0.504887,N2,N11,N18
0.504884,N8,N24,N39
0.504883,N29,N40,M2Q4
0.504883,N22,M0P1,M1T3
0.504881,N3,N16,M1T2
0.504881,N11,N33,N36
0.504879,N12,N14,M1T3
0.504879,N11,N22,N35
0.504878,N7,N30,M2Q2
0.504877,N13,N31,N37
0.504876,N31,M1T1,M2Q3
0.504876,N2,N7,N11
0.504873,N18,N31,N34
0.504870,N31,N34,M1T3
0.504868,N7,M1T1,M1T3
0.504868,N6,N7,N35
0.504868,N12,N14,N39
0.504867,N3,N34,M2Q2
0.504866,N36,M1T3,M2Q3
0.504863,N7,N10,N36
0.504858,N7,N14,M1T3
0.504858,N3,N18,N31
0.504858,N31,N37,M1T2
0.504856,N6,N11,M1T1
0.504850,N11,N20,M2Q1
0.504850,M1T2,M1T3,M2Q1
0.504849,N18,N22,N35
0.504849,N17,N34,M2Q2
0.504846,N18,N20,N29
0.504845,N16,N31,M1T3
0.504844,N26,N34,M2Q4
0.504843,N11,N12,N20
0.504842,N6,N11,N26
0.504842,N29,N38,M0P1
0.504840,N5,N33,M1T3
0.504837,N22,N34,M2Q4
0.504837,N13,N22,N31
0.504836,N31,N35,M1T3
0.504835,N35,N37,N40
0.504835,N34,N36,M1T3
0.504835,N18,N35,N37
0.504831,N2,N12,N31
0.504831,N16,N26,M2Q1
0.504829,N9,N12,N18
0.504829,N15,N36,M2Q2
0.504827,N31,N32,N37
0.504825,N30,M1T2,M2Q2
0.504825,N18,N31,N37
0.504822,N7,N27,M2Q3
0.504822,N7,N16,M2Q1
0.504821,N26,M1T1,M1T3
0.504821,N16,N34,M2Q2
0.504816,N26,N29,M0P2
0.504813,N3,N16,M1T3
0.504811,N7,N36,M0P2
0.504811,N3,N19,M0P2
0.504809,N5,N26,M2Q1
0.504807,N7,M0P1,M1T3
0.504807,N3,N37,M2Q1
0.504807,N29,N37,M2Q1
0.504806,N8,N31,M2Q3
0.504806,N7,N29,M1T3
0.504805,N7,N24,M2Q3
0.504805,M0P2,M1T3,M2Q2
0.504804,N22,M1T2,M2Q2
0.504804,N12,M1T1,M2Q3
0.504802,N9,N38,M2Q1
0.504802,N26,N29,M2Q3
0.504795,N30,N39,M0P2
0.504795,N14,M0P2,M1T3
0.504793,N3,N7,N31
0.504789,N11,N12,M1T1
0.504784,N7,N29,N31
0.504784,N13,N22,N39
0.504783,N16,N18,N31
0.504781,N7,N18,N28
0.504780,N31,M1T3,M2Q2
0.504779,N30,M1T3,M2Q1
0.504779,N20,N29,M0P1
0.504776,N18,N24,N33
0.504775,N31,N34,N37
0.504772,N6,N18,N20
0.504772,N6,N18,M2Q1
0.504771,N7,N31,M0P2
0.504770,N6,N31,M2Q1
0.504769,N5,N7,N36
0.504768,N8,M1T2,M2Q2
0.504767,N15,N31,M2Q2
0.504765,N18,N28,M2Q3
0.504763,N10,N13,N19
0.504762,N2,N31,M1T3
0.504761,N7,N24,M1T3
0.504761,N24,M1T3,M2Q2
0.504759,N33,M1T3,M2Q1
0.504757,N7,N17,N36
0.504757,N40,M1T2,M2Q2
0.504756,N22,N25,N34
0.504752,N16,N18,M1T2
0.504746,M1T3,M2Q2,M2Q3
0.504743,N6,N18,M1T1
0.504743,N12,N34,N38
0.504742,N7,N31,M2Q4
0.504741,N19,N31,M1T2
0.504737,N7,N10,M1T3
0.504737,N34,N38,M2Q3
0.504736,N17,N34,M1T3
0.504734,N10,N31,M2Q3
0.504733,N20,N22,M1T3
0.504732,N10,N11,M1T3
0.504730,N20,N29,M1T3
0.504729,N6,N34,M1T3
0.504728,N8,N22,N34
0.504728,N4,N18,M0P2
0.504727,N6,N33,M1T3
0.504727,N11,M1T1,M1T3
0.504726,N10,N16,M2Q1
0.504725,N4,N7,N18
0.504724,N9,N10,M1T3
0.504724,N24,M1T3,M2Q4
0.504724,N15,N31,N38
0.504723,N11,N22,M1T2
0.504721,N9,N15,M0P1
0.504721,N5,N18,N35
0.504721,N16,N31,N37
0.504719,N26,N31,N39
0.504719,N18,N29,N31
0.504719,N17,M1T2,M2Q2
0.504718,N9,N31,M2Q3
0.504718,N22,N30,N39
0.504718,N10,M1T2,M2Q2
0.504713,N4,N15,M1T3
0.504713,N35,N39,M1T2
0.504713,N17,N36,M2Q3
0.504712,N2,N4,M2Q2
0.504709,N2,N7,N12
0.504708,N2,N11,M2Q3
0.504707,N7,N19,N30
0.504707,N4,N6,N18
0.504707,N11,N22,M1T1
0.504706,N28,N34,M1T3
0.504706,N13,N16,N22
0.504705,N12,N16,N20
0.504703,N11,N31,N40
0.504702,N16,N36,M2Q1
0.504702,N14,N31,M2Q2
0.504700,N18,N35,M2Q4
0.504699,N7,N13,M1T3
0.504698,N18,N30,N35
0.504695,N31,N34,M2Q3
0.504694,N6,N11,N37
0.504690,N33,M2Q1,M2Q4
0.504689,N35,M1T2,M2Q4
0.504688,N12,N39,M1T2
0.504687,N26,N33,M1T3
0.504684,N20,N26,M1T3
0.504684,N11,N22,N24
0.504683,N7,N21,N36
0.504681,N29,M2Q3,M2Q4
0.504680,N7,N12,M2Q3
0.504678,N7,N18,N30
0.504676,N7,N21,M1T3
0.504675,N7,N21,N31
0.504674,N34,N37,M1T3
0.504673,N7,N31,M1T1
0.504673,N2,N7,M1T3
0.504672,N31,N33,M2Q2
0.504672,N10,N16,M1T2
0.504671,N3,N18,M1T1
0.504670,N18,N35,N38
0.504669,N20,N29,N35
0.504668,M0P1,M1T2,M2Q2
0.504666,N30,N34,M2Q2
0.504662,N31,N34,N40
0.504659,N24,N32,N36
0.504659,N20,N22,M0P1
0.504658,N3,N37,M1T1
0.504658,N16,N20,N31
0.504657,N7,N18,N20
0.504657,N7,N12,M1T3
0.504657,N15,M0P2,M1T3
0.504656,N7,N35,M1T2
0.504655,N37,N38,M1T3
0.504654,N18,N29,N35
0.504654,N10,N29,N37
0.504651,N19,N37,M1T3
0.504650,N7,N30,M1T3
0.504650,N7,N19,N37
0.504649,N3,N18,N35
0.504649,N2,N15,N36
0.504649,N16,M1T2,M2Q3
0.504648,N29,N36,N40
0.504644,N16,M2Q2,M2Q3
0.504643,N36,N39,M0P1
0.504641,N2,M1T1,M2Q2
0.504640,N3,M1T3,M2Q3
0.504640,N24,M1T2,M2Q2
0.504640,N20,N29,N40
0.504638,N7,N13,N22
0.504638,N36,N39,M2Q2
0.504638,N2,N15,M1T3
0.504637,N2,N34,M1T3
0.504636,N7,N31,M0P1
0.504635,N7,N35,M2Q3
0.504635,N4,N7,M2Q2
0.504635,N31,M1T1,M1T3
0.504635,N20,N29,N38
0.504635,N11,N36,M1T3
0.504633,N28,M2Q2,M2Q3
0.504632,N3,N19,M1T3
0.504631,N7,N12,M2Q1
0.504631,N18,N22,N31
0.504630,N6,N11,N33
0.504630,N18,N24,N35
0.504629,N7,N16,N36
0.504629,N30,N33,M1T3
0.504628,N34,M1T3,M2Q1
0.504628,N31,M1T3,M2Q4
0.504627,N20,N38,M0P1
0.504627,N10,N29,N31
0.504626,N2,N33,M1T3
0.504624,N7,N13,N34
0.504624,N11,N24,N31
0.504623,N18,N22,M1T1
0.504622,N7,N11,N35
0.504622,M0P2,M1T3,M2Q3
0.504621,N7,N32,M2Q3
0.504621,N3,N22,M1T3
0.504620,N7,N32,M1T3
0.504619,N7,N31,M1T2
0.504619,N31,N40,M2Q4
0.504618,N34,N36,N40
0.504618,N2,N30,M0P2
0.504615,N7,N27,M1T3
0.504615,N18,N26,N29
0.504614,N7,N14,N31
0.504614,M1T2,M1T3,M2Q4
0.504613,N15,N22,N36
0.504612,N6,N22,N34
0.504612,N29,N37,N38
0.504612,N26,N40,M1T3
0.504612,N26,N31,M1T3
0.504612,N12,N39,M1T1
0.504611,N8,N18,N35
0.504611,N7,N19,N29
0.504611,N6,N34,M2Q1
0.504611,N19,N20,N29
0.504611,N18,N35,N40
0.504611,N18,N22,M2Q3
0.504609,N3,N18,M2Q1
0.504609,N29,N32,N40
0.504608,N18,N30,N32
0.504607,N26,M1T3,M2Q4
0.504606,N9,M1T1,M2Q3
0.504606,N17,N38,M0P1
0.504606,N16,M1T3,M2Q1
0.504605,N31,N36,N40
0.504604,N12,N20,N39
0.504602,N9,N15,M2Q1
0.504602,N4,N18,N20
0.504602,N31,M0P1,M2Q3
0.504602,N11,N20,N29
0.504601,N24,N39,M1T3
0.504600,N3,N28,M1T2
0.504600,N2,N12,N38
0.504599,N18,N31,M2Q2
0.504596,N7,N12,N20
0.504596,N6,N20,M2Q1
0.504596,N3,M1T2,M2Q1
0.504595,N18,N20,N25
0.504594,N20,N27,N35
0.504592,N7,N20,N31
0.504592,N3,N36,M2Q3
0.504591,N24,N29,M1T3
0.504590,N35,M1T2,M1T3
0.504590,N2,N12,N39
0.504588,N6,N18,N30
0.504588,N4,N18,M1T1
0.504588,N3,N11,M1T3
0.504587,N15,M1T2,M1T3
0.504586,N9,N18,N20
0.504585,N13,N24,N31
0.504584,N22,N38,M0P1
0.504581,N9,N36,M1T2
0.504581,N6,N11,N12
0.504579,N7,N22,N34
0.504577,N20,N22,M2Q1
0.504575,N18,N34,N35
0.504573,N6,N20,N31
0.504572,N2,N29,N40
0.504570,N32,M1T3,M2Q3
0.504569,N11,N15,N36
0.504568,N7,N14,N36
0.504568,N27,N29,N31
0.504567,N22,N27,M2Q4
0.504566,N6,N11,M0P2
0.504566,N31,M1T2,M2Q4
0.504566,N20,N29,N37
0.504564,N6,N18,M2Q3
0.504564,N2,N24,M0P1
0.504564,N15,N36,N40
0.504563,N7,N18,N19
0.504563,N6,N11,M2Q3
0.504563,N15,N18,M0P2
0.504561,N7,N12,N30
0.504561,N12,N31,M2Q1
0.504560,N17,N31,M1T3
0.504559,N3,N9,M1T1
0.504558,N26,N31,M2Q1
0.504558,N11,N22,N36
0.504557,N18,N22,N34
0.504557,N16,M1T3,M2Q3
0.504555,N9,N15,N31
0.504555,N3,N7,N9
0.504555,N3,N15,N31
0.504554,N13,N22,M2Q3
0.504552,N9,N18,N31
0.504552,N7,N16,M2Q3
0.504552,N16,N29,M1T2
0.504550,N7,N30,M0P2
0.504549,N30,M0P2,M1T2
0.504549,N29,N37,N40
0.504549,N10,N18,N36
0.504548,N7,N26,M2Q1
0.504548,N13,N22,M1T2
0.504546,N6,N40,M1T1
0.504545,N2,N11,M2Q2
0.504545,N20,N31,M1T3
0.504543,N34,N39,M1T3
0.504543,N2,N35,M1T2
0.504542,N29,N31,M2Q4
0.504541,N7,N27,N31
0.504541,N22,N33,M2Q1
0.504539,N9,N26,M2Q1
0.504539,N3,M1T3,M2Q2
0.504539,N34,M1T3,M2Q3
0.504539,N26,N30,M2Q1
0.504539,N13,N24,N36
0.504539,N10,N29,M1T2
0.504539,M0P2,M2Q2,M2Q3
0.504537,N3,N4,N33
0.504534,N3,N6,N11
0.504533,N7,N13,N19
0.504533,N15,N31,N37
0.504533,N12,N14,N31
0.504532,N6,N18,N19
0.504531,N24,N36,M0P2
0.504531,N22,M0P2,M1T2
0.504531,N16,M0P1,M1T2
0.504530,N7,N34,M2Q3
0.504530,N15,M1T3,M2Q1
0.504530,N12,N28,N39
0.504529,N6,N11,N38
0.504529,N15,N26,M1T3
0.504528,N12,N31,M1T3
0.504528,N10,N13,N35
0.504527,N7,N34,M2Q1
0.504527,N7,N22,M0P1
0.504527,N28,N36,M1T1
0.504526,N31,M0P1,M2Q1
0.504526,N18,N22,N28
0.504526,N17,N31,M2Q4
0.504525,N19,N20,N35
0.504524,N18,N30,M0P2
0.504522,N23,M1T3,M2Q3
0.504520,N6,N11,N19
0.504519,N35,M2Q2,M2Q4
0.504518,N12,N34,N39
0.504517,N6,N11,N13
0.504517,N27,N31,M2Q1
0.504516,N2,N3,N20
0.504516,N18,N20,N21
0.504516,N17,N31,M2Q2
0.504516,N11,N16,M2Q1
0.504515,N6,N8,N11
