Alpha,SNP_A,SNP_B
0.001124,N17,M2Q2
0.001121,N18,N30
0.001121,N15,M2Q2
0.001117,M1T1,M2Q3
0.001116,N9,N15
0.001113,N40,M2Q4
0.001111,N4,N31
0.001101,N14,M0P1
0.001100,N24,M1T3
0.001095,N4,M0P2
0.001095,N40,M2Q3
0.001085,N11,N24
0.001081,N24,M0P2
0.001081,N21,N33
0.001080,N2,M1T2
0.001073,N24,N30
0.001067,N23,N30
0.001066,N33,N37
0.001061,N14,M1T3
0.001060,N32,N36
0.001060,N16,N34
0.001054,N0,N37
0.001050,N24,M1T1
0.001042,N3,N15
0.001042,N36,M1T3
0.001042,N15,M1T1
0.001031,N1,N37
0.001029,N13,N22
0.001025,N7,M2Q1
0.001020,N3,M2Q1
0.001016,N7,N35
0.001013,N3,N18
0.001011,N27,N35
0.001009,N27,M2Q2
0.001006,N2,M0P1
0.001005,N4,N22
0.001004,N23,N31
0.001002,N4,N12
0.001001,N30,M2Q1
0.001001,N15,M2Q1
0.001000,N7,N22
0.000997,N0,N30
0.000996,N34,N38
0.000995,N3,N9
0.000995,N2,N27
0.000986,N23,M2Q2
0.000985,N36,M2Q3
0.000984,N13,N19
0.000981,N18,N24
0.000980,N20,N34
0.000975,N7,N15
0.000971,N31,M2Q4
0.000970,N35,N37
0.000963,N27,N37
0.000962,N39,M0P1
0.000959,N17,M1T1
0.000958,N29,M0P1
0.000956,N16,M2Q2
0.000954,N38,M2Q1
0.000953,N5,M2Q2
0.000951,N2,M2Q2
0.000951,N20,N27
0.000949,N8,M0P2
0.000949,N3,M1T1
0.000948,N18,M2Q3
0.000946,N13,N14
0.000945,N8,N39
0.000945,N0,N7
0.000940,N30,M2Q4
0.000940,N0,M0P1
0.000939,N31,N38
0.000939,M0P2,M1T3
0.000938,N20,N32
0.000937,N27,M0P2
0.000934,N6,N17
0.000934,N29,N32
0.000933,N6,N20
0.000929,N10,M2Q4
0.000921,N7,N19
0.000920,N22,M2Q3
0.000917,M0P1,M1T2
0.000913,N25,M1T3
0.000911,N24,M0P1
0.000911,N11,N28
0.000908,N4,N35
0.000904,N12,N30
0.000902,N24,M2Q2
0.000901,N3,M0P1
0.000900,N29,N35
0.000900,N14,N18
0.000896,N4,N36
0.000894,N16,N17
0.000887,N21,N37
0.000884,N18,N36
0.000883,N24,M2Q1
0.000880,N8,N34
0.000878,N28,M0P1
0.000878,N11,N39
0.000877,N34,N37
0.000876,N5,N35
0.000876,N25,N34
0.000876,N11,N20
0.000876,M1T3,M2Q4
0.000875,M1T1,M1T3
0.000872,N9,M2Q1
0.000871,N6,N34
0.000871,N3,N37
0.000871,M1T2,M1T3
0.000870,N7,N12
0.000869,N9,N32
0.000868,N24,N34
0.000866,N21,M2Q3
0.000865,N21,M1T1
0.000864,N10,N22
0.000863,N39,M1T2
0.000862,N11,M2Q1
0.000861,N9,N21
0.000860,N7,N13
0.000860,N10,N35
0.000860,N0,N26
0.000859,N4,M1T3
0.000859,N27,N33
0.000857,N8,N24
0.000856,N22,M0P1
0.000855,N22,N36
0.000855,N0,N23
0.000853,N31,M2Q2
0.000853,N18,N22
0.000852,N3,M2Q4
0.000852,N37,N38
0.000852,N26,M0P1
0.000849,N33,M2Q1
0.000849,N23,M2Q1
0.000846,N7,N30
0.000845,N18,N28
0.000842,N2,N5
0.000842,N23,M2Q3
0.000842,N17,M2Q3
0.000841,N22,M1T2
0.000840,N36,M2Q2
0.000837,N31,M2Q1
0.000837,N16,N23
0.000836,N25,M0P2
0.000834,N2,M2Q3
0.000832,N24,M2Q4
0.000832,N1,M2Q3
0.000832,N17,M0P1
0.000830,N12,N38
0.000825,N5,N39
0.000824,N16,N20
0.000824,N11,M2Q3
0.000823,N17,N34
0.000819,N8,M2Q4
0.000819,N3,N40
0.000819,N10,M1T2
0.000817,N31,N34
0.000817,N10,N14
0.000815,N5,N22
0.000815,N3,N23
0.000815,N10,N38
0.000813,N2,M0P2
0.000812,N31,N36
0.000812,N22,N25
0.000811,N5,N26
0.000811,M1T2,M2Q1
0.000810,N10,N27
0.000808,N24,N31
0.000808,N19,N32
0.000807,N0,N22
0.000806,N14,N39
0.000803,N17,N24
0.000802,N33,N40
0.000801,N36,M2Q1
0.000801,N2,N28
0.000799,N3,M0P2
0.000797,N15,M0P2
0.000795,N0,N21
0.000794,N18,M1T1
0.000793,N32,N35
0.000793,N10,N37
0.000791,N0,M2Q2
0.000790,M0P2,M1T2
0.000781,N4,N5
0.000781,N40,M0P1
0.000780,N18,N38
0.000775,N7,N29
0.000775,N10,M0P1
0.000774,N7,N20
0.000773,N21,N35
0.000773,N0,N17
0.000772,N28,N39
0.000772,M0P1,M2Q1
0.000770,N37,M0P2
0.000770,N2,N29
0.000768,N24,N33
0.000766,N23,N39
0.000766,N19,N29
0.000764,N20,M0P1
0.000762,N5,N31
0.000762,N29,M2Q1
0.000762,N16,N37
0.000761,N23,N36
0.000761,N10,N29
0.000760,N10,N13
0.000759,N13,M2Q4
0.000759,N11,N18
0.000754,N2,N9
0.000754,N15,N23
0.000753,N23,N32
0.000752,N18,N33
0.000751,N5,M1T3
0.000751,N0,N40
0.000750,N6,N32
0.000750,N0,N28
0.000748,N23,M1T2
0.000747,N10,M1T1
0.000742,N5,N36
0.000742,N15,N22
0.000740,N39,M1T3
0.000737,N38,M2Q3
0.000737,N10,N33
0.000736,N5,N11
0.000736,N23,M1T1
0.000735,N5,N7
0.000735,N3,M2Q2
0.000735,N20,M2Q4
0.000734,N18,M0P2
0.000733,N18,N25
0.000732,N5,N32
0.000729,N3,M2Q3
0.000728,N7,N11
0.000727,N5,N20
0.000727,N4,M1T1
0.000727,N2,M2Q4
0.000726,N13,N34
0.000724,N37,M2Q1
0.000724,N36,M1T1
0.000722,N3,N24
0.000722,N17,N38
0.000722,N0,N18
0.000721,N16,M0P2
0.000720,N3,N7
0.000720,N27,M2Q4
0.000720,N11,N25
0.000719,N3,N4
0.000716,N26,N34
0.000714,N7,N27
0.000713,N22,N30
0.000712,N2,N36
0.000712,N14,M2Q2
0.000711,N2,N15
0.000709,N27,N36
0.000709,N26,N31
0.000708,N2,M2Q1
0.000707,N21,N31
0.000707,M0P1,M2Q3
0.000706,N10,N32
0.000705,N29,M0P2
0.000699,N13,M2Q3
0.000698,N26,M2Q2
0.000698,N19,N20
0.000696,N27,M2Q3
0.000696,N20,M0P2
0.000695,N29,M2Q3
0.000695,N13,N29
0.000694,N20,M2Q1
0.000692,N6,N19
0.000691,N5,N27
0.000691,N33,N36
0.000690,N3,N28
0.000690,N39,M2Q2
0.000689,N35,M1T3
0.000689,N26,N35
0.000689,M0P2,M2Q4
0.000687,N8,M1T1
0.000687,N33,M1T2
0.000687,N11,N35
0.000685,N3,N29
0.000685,N34,M2Q3
0.000685,N25,N29
0.000685,N25,M1T1
0.000685,N21,N26
0.000683,N27,N29
0.000682,N9,N23
0.000682,N31,M1T2
0.000682,N19,M0P2
0.000682,N0,N6
0.000681,N2,N31
0.000681,N2,N17
0.000679,N30,N38
0.000679,N1,N29
0.000679,N14,N30
0.000678,N3,N20
0.000678,N22,N35
0.000678,N12,M0P1
0.000674,N20,N33
0.000673,N40,M1T2
0.000673,N22,M1T1
0.000671,N2,M1T3
0.000669,N32,N38
0.000669,N11,N15
0.000668,N20,N37
0.000667,N3,N10
0.000667,N35,M2Q2
0.000667,N25,N39
0.000666,N33,M2Q4
0.000666,N15,N40
0.000666,N10,M2Q2
0.000664,N26,M0P2
0.000664,N23,M0P2
0.000664,N15,N37
0.000662,N0,N19
0.000660,N10,N18
0.000659,N5,N33
0.000659,N5,N17
0.000659,N10,N17
0.000658,N22,N23
0.000657,N25,M0P1
0.000656,N27,N32
0.000656,N12,N40
0.000654,N29,N38
0.000654,N20,N39
0.000653,N16,N27
0.000653,N13,N23
0.000651,N6,N30
0.000651,N2,N33
0.000650,N18,N29
0.000649,N2,N25
0.000648,N21,N30
0.000647,N9,N11
0.000644,N8,N30
0.000644,N34,N36
0.000644,N22,M1T3
0.000643,N18,M0P1
0.000643,N11,N34
0.000642,N39,M2Q3
0.000641,N2,N20
0.000639,N33,M2Q3
0.000638,N4,M2Q2
0.000638,N31,N39
0.000638,N24,N38
0.000637,N13,N24
0.000635,N6,N22
0.000635,N22,M2Q1
0.000633,N28,N36
0.000633,N0,N15
0.000632,N7,N34
0.000631,N7,M0P1
0.000631,N28,M2Q2
0.000630,N4,N19
0.000630,N4,M2Q4
0.000630,N10,N12
0.000629,N0,N33
0.000629,N0,N10
0.000628,N7,M0P2
0.000626,N5,N23
0.000626,N16,N33
0.000625,N22,N31
0.000623,N11,N16
0.000622,N26,M2Q4
0.000621,N7,N9
0.000620,N17,N31
0.000620,M1T1,M1T2
0.000619,N6,N25
0.000619,N25,M2Q1
0.000619,N20,N38
0.000619,N16,N31
0.000618,N13,N28
0.000617,N6,M1T3
0.000617,N37,N40
0.000617,N30,N32
0.000616,N3,N8
0.000616,N1,N10
0.000614,N4,N34
0.000614,N32,N40
0.000612,N35,N39
0.000612,N29,N30
0.000611,N39,M2Q4
0.000609,N6,N15
0.000609,N6,M0P1
0.000609,N18,N32
0.000608,N11,N17
0.000607,N10,N15
0.000607,N0,N3
0.000606,N9,N36
0.000606,N4,N33
0.000606,N13,N16
0.000605,N16,N35
0.000604,N3,N19
0.000604,N15,N20
0.000603,N10,N16
0.000600,N16,N18
0.000599,N35,M1T1
0.000599,N15,N28
0.000598,N5,N18
0.000598,N15,N19
0.000598,M0P1,M1T1
0.000597,N4,N21
0.000597,N27,N31
0.000597,N18,M2Q2
0.000596,N9,N16
0.000596,N5,M2Q3
0.000593,N32,N34
0.000592,N18,N34
0.000591,N32,M2Q2
0.000591,N23,N37
0.000591,N17,N40
0.000591,N12,N34
0.000590,N4,N16
0.000590,N31,M1T1
0.000590,N11,N29
0.000590,N0,N1
0.000589,N36,M1T2
0.000588,N8,N38
0.000585,N9,N37
0.000585,N11,M1T1
0.000584,N6,N10
0.000584,N4,N6
0.000584,N35,N38
0.000584,N14,N20
0.000583,N32,M2Q3
0.000581,N30,N35
0.000580,N9,M0P1
0.000580,N27,M1T1
0.000580,M0P2,M2Q2
0.000579,N19,N35
0.000578,N38,M0P2
0.000577,N21,N23
0.000577,M1T2,M2Q4
0.000576,N17,M1T2
0.000575,N12,N31
0.000574,N33,M2Q2
0.000574,N2,N16
0.000571,N15,M2Q3
0.000570,N29,N39
0.000570,N24,N25
0.000568,N28,N38
0.000568,N24,N37
0.000567,N12,N16
0.000567,N0,N9
0.000567,N0,N16
0.000566,N14,N34
0.000564,N18,M1T2
0.000563,N6,M0P2
0.000562,N40,M2Q2
0.000562,N24,M2Q3
0.000561,N27,M0P1
0.000561,N17,M2Q1
0.000560,N13,N21
0.000560,N13,M2Q2
0.000559,N13,N40
0.000558,N7,N33
0.000558,N6,N33
0.000557,N33,M0P2
0.000556,N8,N31
0.000556,N34,N40
0.000556,N34,N39
0.000555,N15,N32
0.000554,N29,M1T3
0.000553,N22,N33
0.000553,N21,N34
0.000553,N10,M1T3
0.000552,N7,N21
0.000552,N28,N34
0.000552,N13,M2Q1
0.000551,N8,N17
0.000550,N2,M1T1
0.000550,N18,N23
0.000549,N3,N36
0.000548,M1T1,M2Q4
0.000547,N9,N10
0.000547,N23,N34
0.000547,N22,N40
0.000547,N17,N37
0.000546,N14,N24
0.000545,N32,N37
0.000545,N17,N28
0.000545,N16,N22
0.000544,N14,N33
0.000542,N3,N27
0.000542,N21,M0P2
0.000541,N15,N16
0.000540,N34,M2Q1
0.000539,N25,N32
0.000538,N23,M1T3
0.000538,M1T3,M2Q2
0.000537,N5,M2Q1
0.000537,N24,M1T2
0.000536,N2,N23
0.000536,N26,N28
0.000536,N21,M2Q1
0.000534,N4,N23
0.000533,N6,N23
0.000533,N16,N30
0.000533,N12,N37
0.000532,N6,N29
0.000532,N25,M1T2
0.000531,N18,N39
0.000531,N17,N20
0.000529,N2,N40
0.000528,N32,M1T1
0.000526,N6,N40
0.000526,N20,M1T3
0.000526,N10,N11
0.000525,N4,M2Q3
0.000525,N22,N39
0.000525,N15,N18
0.000525,N11,N14
0.000524,N9,N20
0.000523,N12,N35
0.000523,N0,N38
0.000522,N9,N13
0.000522,N8,N35
0.000522,N18,N27
0.000522,N15,M2Q4
0.000521,N0,N36
0.000520,N0,N39
0.000519,N9,M1T2
0.000519,N26,N30
0.000519,N11,N27
0.000518,N30,M1T2
0.000518,N16,M1T3
0.000518,N14,N37
0.000518,N14,N22
0.000517,N9,M1T3
0.000516,N10,N23
0.000516,N0,N12
0.000515,N22,N37
0.000514,N6,N9
0.000512,N9,N14
0.000512,N15,N39
0.000512,N14,N29
0.000512,N13,N31
0.000511,N25,N31
0.000511,N0,N24
0.000510,N2,N35
0.000509,N39,N40
0.000509,N39,M0P2
0.000508,N40,M1T1
0.000508,N32,M0P1
0.000507,N9,N35
0.000507,N35,M2Q1
0.000507,N16,M0P1
0.000507,N11,N23
0.000506,N7,N10
0.000506,N22,M2Q2
0.000506,N19,N23
0.000506,N11,N21
0.000505,N4,M1T2
0.000505,N3,N16
0.000504,N1,N2
0.000503,N25,N36
0.000503,N12,M2Q4
0.000501,N32,M2Q1
0.000500,N30,M2Q3
0.000500,N30,M0P1
0.000500,N24,N32
0.000499,N16,N28
0.000498,N33,M1T1
0.000498,N20,M2Q2
0.000498,N1,N28
0.000498,N13,N25
0.000497,N8,N18
0.000497,N20,N31
0.000497,N10,N36
0.000496,N9,M2Q3
0.000496,M0P2,M2Q3
0.000494,N40,M0P2
0.000494,N27,M1T3
0.000494,N13,N36
0.000494,N10,M2Q1
0.000493,N1,N4
0.000493,N12,N27
0.000490,N4,N11
0.000490,N4,M2Q1
0.000490,N29,N31
0.000489,N35,N40
0.000489,N11,N30
0.000487,N12,N32
0.000487,N10,N39
0.000486,N8,N29
0.000486,N36,M0P1
0.000486,N29,M2Q2
0.000486,M1T2,M2Q3
0.000485,N6,N26
0.000485,N4,N17
0.000483,N3,N31
0.000482,N8,N11
0.000482,N24,N28
0.000481,N33,N38
0.000481,N15,N27
0.000480,N3,N30
0.000479,N6,M2Q2
0.000479,N18,N26
0.000478,N26,N39
0.000478,N23,N38
0.000477,N28,M1T1
0.000477,N27,M1T2
0.000475,N2,N38
0.000475,N0,M2Q3
0.000473,N10,N40
0.000472,N36,M0P2
0.000472,N21,N40
0.000471,N23,N29
0.000471,N14,M1T1
0.000471,N0,N29
0.000470,N40,M2Q1
0.000470,N11,M2Q2
0.000469,N7,N8
0.000469,N2,N7
0.000469,N2,N10
0.000468,N31,N35
0.000468,N25,N27
0.000468,N14,N25
0.000467,N6,N31
0.000466,N22,M0P2
0.000466,N13,M0P1
0.000466,M1T3,M2Q1
0.000466,M1T1,M2Q1
0.000465,N8,N19
0.000461,N26,N27
0.000461,N15,N29
0.000460,N14,N26
0.000459,N5,N24
0.000458,N21,M1T2
0.000458,N16,N26
0.000455,N14,N36
0.000454,N9,N33
0.000454,N1,N18
0.000454,N10,N24
0.000453,N6,N13
0.000453,N39,M2Q1
0.000453,N39,M1T1
0.000452,N7,N39
0.000452,N5,N16
0.000452,N16,M1T1
0.000447,N36,N39
0.000446,N2,N4
0.000446,N24,N40
0.000446,N18,M2Q1
0.000446,N16,N24
0.000445,N10,N21
0.000444,N4,N9
0.000444,N4,M0P1
0.000443,N6,N7
0.000442,N5,N29
0.000441,N9,N19
0.000439,N5,N34
0.000439,N31,M0P1
0.000439,N2,N32
0.000437,N18,N37
0.000437,N12,M1T2
0.000436,N22,N26
0.000436,N10,N30
0.000434,N21,N28
0.000434,N0,N34
0.000433,N6,M2Q4
0.000432,N4,N39
0.000432,N40,M1T3
0.000430,N19,N30
0.000430,N12,N18
0.000427,N27,N39
0.000426,N22,N24
0.000425,N7,M1T1
0.000425,N12,N33
0.000424,N21,N38
0.000423,N9,N26
0.000423,N4,N10
0.000423,N14,N31
0.000423,N14,N16
0.000420,N8,M2Q1
0.000419,N22,N32
0.000417,N30,M1T1
0.000417,N21,M2Q4
0.000417,N15,N24
0.000416,N27,N40
0.000416,N17,N35
0.000416,N10,N25
0.000415,N14,M2Q1
0.000414,N9,N29
0.000414,N7,N14
0.000414,N26,M2Q3
0.000414,N19,N33
0.000412,N7,N37
0.000412,N5,M0P1
0.000412,N14,N35
0.000411,N9,N25
0.000411,N6,N16
0.000411,N6,M1T1
0.000411,N11,M1T2
0.000410,N4,N29
0.000409,N11,M0P1
0.000408,N11,N32
0.000407,N0,M2Q4
0.000406,N3,N5
0.000406,N33,M0P1
0.000406,N19,N39
0.000405,N19,M2Q4
0.000404,N20,M1T1
0.000404,N13,N27
0.000404,N10,N34
0.000403,N29,N36
0.000402,N33,N34
0.000402,N32,M1T2
0.000402,N2,N22
0.000402,N20,N24
0.000401,N6,N24
0.000400,N5,N15
0.000400,N4,N20
0.000400,N34,M2Q4
0.000400,N16,N40
0.000398,N2,N14
0.000397,N8,N36
0.000393,N14,M2Q4
0.000392,M1T1,M2Q2
0.000391,N3,N34
0.000391,N26,N29
0.000390,N32,N39
0.000390,N11,N40
0.000389,N3,N14
0.000389,N33,N35
0.000388,M2Q1,M2Q3
0.000387,N24,N29
0.000387,N11,N38
0.000385,N13,N37
0.000385,N12,N24
0.000384,N20,N36
0.000382,N19,N21
0.000381,N19,N36
0.000380,N16,N36
0.000378,N9,M0P2
0.000378,N2,N37
0.000377,N31,N33
0.000377,N12,N19
0.000376,N37,M1T1
0.000376,N19,M0P1
0.000376,N16,N19
0.000375,N3,N33
0.000375,N2,N8
0.000372,N31,M0P2
0.000371,N13,N15
0.000370,N8,N20
0.000370,N12,N26
0.000366,N9,N18
0.000366,N31,N40
0.000366,N16,N25
0.000366,M2Q2,M2Q4
0.000364,M0P2,M1T1
0.000362,N38,M1T2
0.000362,N34,M1T1
0.000362,N32,M1T3
0.000362,N15,M0P1
0.000361,N21,N39
0.000360,N6,N38
0.000358,N23,N27
0.000358,N19,M1T1
0.000357,N1,M1T2
0.000356,N34,M1T2
0.000356,M0P2,M2Q1
0.000355,N20,N23
0.000355,N19,M2Q1
0.000355,N11,M0P2
0.000354,M2Q1,M2Q4
0.000353,N23,N26
0.000352,N7,N32
0.000352,N23,N35
0.000351,N4,N14
0.000351,N10,M0P2
0.000349,N7,M2Q4
0.000349,N22,N29
0.000348,N8,N22
0.000347,N34,N35
0.000347,N28,N37
0.000346,N37,N39
0.000345,N5,M1T2
0.000345,N17,N32
0.000344,N25,M2Q2
0.000344,N17,N39
0.000343,N13,N33
0.000342,N19,M2Q2
0.000341,N12,M2Q2
0.000340,N19,M2Q3
0.000340,N10,N19
0.000339,N3,N32
0.000339,N0,N11
0.000338,N21,N36
0.000336,N37,M2Q3
0.000336,N2,N18
0.000336,N1,N16
0.000335,N8,M1T2
0.000335,N13,N18
0.000334,N21,M1T3
0.000334,N14,N38
0.000333,N4,N37
0.000333,N33,N39
0.000333,N16,M2Q4
0.000332,N7,N24
0.000331,N4,N26
0.000331,N32,M2Q4
0.000331,N24,N27
0.000330,N27,N28
0.000329,N9,N17
0.000329,N3,N11
0.000329,N17,N22
0.000327,N7,M1T2
0.000327,N3,N12
0.000327,N17,N30
0.000326,N20,N40
0.000326,N0,N8
0.000325,N32,M0P2
0.000325,N23,M2Q4
0.000323,N11,N26
0.000322,N31,N32
0.000319,N7,N40
0.000319,N14,N15
0.000317,N8,N10
0.000317,N28,M0P2
0.000317,N16,N29
0.000316,N9,N39
0.000316,N2,N3
0.000316,N0,M1T1
0.000315,N9,M2Q2
0.000315,N7,N16
0.000314,N8,N21
0.000314,N5,M1T1
0.000314,N14,M1T2
0.000313,N35,N36
0.000313,N20,M1T2
0.000312,N18,N21
0.000312,N14,M0P2
0.000309,N3,N35
0.000309,N30,N34
0.000309,N29,M1T1
0.000309,N13,N32
0.000309,N13,N17
0.000308,N21,N27
0.000308,N10,M2Q3
0.000307,N30,M1T3
0.000306,N36,N38
0.000306,N35,M2Q3
0.000305,N6,N39
0.000305,N19,M1T2
0.000304,N1,M1T1
0.000304,N17,M0P2
0.000304,N16,N32
0.000304,M0P1,M2Q4
0.000302,N35,M0P2
0.000301,N11,M2Q4
0.000300,N5,N12
0.000300,N1,N13
0.000300,N16,N39
0.000298,N36,M2Q4
0.000296,N29,M1T2
0.000296,N25,M2Q3
0.000295,N8,N26
0.000293,M2Q1,M2Q2
0.000291,N38,M2Q4
0.000290,N26,N33
0.000289,N3,N25
0.000287,N3,N22
0.000287,N12,N28
0.000286,N4,N40
0.000286,N34,M0P2
0.000284,N6,N36
0.000284,N2,N21
0.000284,N28,N31
0.000284,N19,N24
0.000283,N8,M0P1
0.000282,N6,N8
0.000282,N12,M2Q3
0.000281,N4,N24
0.000279,N5,N8
0.000279,N28,N32
0.000279,N18,M2Q4
0.000279,N0,M2Q1
0.000278,N1,M2Q2
0.000278,N12,N15
0.000277,N1,N12
0.000276,N4,N27
0.000276,N13,N39
0.000276,N0,N31
0.000275,N26,N40
0.000274,N8,N37
0.000274,N30,N36
0.000274,N20,N21
0.000273,N8,M2Q3
0.000273,N5,N40
0.000273,N15,N35
0.000270,N34,M0P1
0.000270,N26,N37
0.000270,N22,N27
0.000269,N30,N40
0.000268,N24,N35
0.000266,N3,N6
0.000266,N22,N28
0.000266,N19,N38
0.000265,N27,N34
0.000264,N2,N30
0.000264,N10,N26
0.000263,N29,N34
0.000263,N1,N11
0.000260,N23,M0P1
0.000260,N20,N26
0.000260,N14,N27
0.000259,N0,N2
0.000258,N17,M2Q4
0.000254,N28,M1T3
0.000254,N20,M2Q3
0.000253,N14,N17
0.000253,N10,N20
0.000252,N6,N14
0.000252,N15,N38
0.000252,N12,N22
0.000251,N30,N31
0.000251,N2,N39
0.000251,N17,N29
0.000249,N7,N28
0.000249,N5,N37
0.000249,N37,M2Q4
0.000247,N9,N28
0.000246,N5,M0P2
0.000246,N0,N25
0.000245,N8,N27
0.000245,N25,N37
0.000244,N4,N32
0.000244,N1,N22
0.000243,N9,N27
0.000243,N23,N40
0.000243,N23,N24
0.000243,N13,N30
0.000242,N13,N35
0.000240,N6,M1T2
0.000240,N5,N6
0.000240,N26,N32
0.000240,N12,N23
0.000239,N1,N6
0.000239,N1,M2Q4
0.000239,N17,M1T3
0.000239,N13,N38
0.000237,N5,M2Q4
0.000237,N36,N37
0.000236,N0,M1T2
0.000235,N18,N19
0.000234,N4,N8
0.000233,N12,N29
0.000232,N7,N26
0.000231,N8,N32
0.000231,N7,N25
0.000231,N21,N22
0.000231,N1,N35
0.000231,N11,N13
0.000230,N8,N15
0.000227,N9,N24
0.000227,N25,N30
0.000226,N14,M2Q3
0.000225,N6,N37
0.000225,N15,N26
0.000224,N8,N23
0.000224,N30,N33
0.000224,N14,N28
0.000224,N0,M0P2
0.000223,N1,M0P2
0.000223,N18,N40
0.000222,N9,M2Q4
0.000222,N8,N16
0.000222,N4,N28
0.000222,N0,N35
0.000222,N0,N14
0.000221,N25,N28
0.000221,N14,N40
0.000221,N11,N33
0.000219,N26,M1T1
0.000218,N17,N19
0.000218,N12,N21
0.000216,N1,N32
0.000216,N17,N18
0.000215,N8,M2Q2
0.000213,N3,N17
0.000210,N37,M1T3
0.000209,N3,N13
0.000207,N4,N25
0.000207,N13,M1T1
0.000206,N26,M1T2
0.000206,N19,N28
0.000205,N2,N26
0.000204,N20,N25
0.000203,N20,N28
0.000202,N6,N12
0.000202,N26,N36
0.000202,N14,N32
0.000201,N16,N21
0.000201,N0,N27
0.000200,N10,N28
0.000199,N2,N34
0.000199,N1,N8
0.000198,N32,N33
0.000198,N1,N7
0.000197,N5,N25
0.000196,N28,N40
0.000196,N0,N4
0.000194,N5,N14
0.000190,N14,N23
0.000189,N15,N33
0.000188,N23,N33
0.000188,N1,N9
0.000185,N8,N9
0.000185,N5,N13
0.000185,N1,N39
0.000183,N9,N34
0.000182,N35,M0P1
0.000182,N12,M1T3
0.000181,N38,N39
0.000181,N23,N25
0.000178,N38,M1T1
0.000178,N29,N33
0.000176,N6,N21
0.000174,N12,N13
0.000172,N28,N33
0.000172,M0P1,M1T3
0.000171,N38,M2Q2
0.000168,N23,N28
0.000168,N1,N19
0.000167,N8,N13
0.000167,N15,N17
0.000166,N4,N13
0.000165,N19,N40
0.000165,N15,N21
0.000165,N10,N31
0.000165,N0,N32
0.000164,N1,N26
0.000161,N26,N38
0.000161,N12,N36
0.000161,N0,N20
0.000160,N19,N34
0.000157,N37,M2Q2
0.000157,N13,M1T3
0.000156,N9,N31
0.000155,N8,N14
0.000155,N38,M1T3
0.000153,N37,M0P1
0.000153,N16,N38
0.000151,N1,M1T3
0.000151,N19,N22
0.000150,N4,N30
0.000150,N30,N37
0.000150,N28,N30
0.000149,N15,N30
0.000149,M0P1,M2Q2
0.000148,N8,M1T3
0.000147,N13,N20
0.000146,N15,N25
0.000146,N13,M0P2
0.000143,N1,N36
0.000143,N19,M1T3
0.000142,N4,N38
0.000142,N28,N29
0.000142,N25,N40
0.000142,N24,N26
0.000141,N25,N26
0.000140,N3,N38
0.000139,N9,N40
0.000139,N21,M0P1
0.000138,N8,N25
0.000138,N28,N35
0.000138,N12,N17
0.000136,N1,N17
0.000135,N19,N31
0.000134,N1,N40
0.000133,N17,N26
0.000132,N5,N9
0.000132,N20,N30
0.000132,N14,N21
0.000132,N12,M0P2
0.000131,N5,N10
0.000130,N37,M1T2
0.000130,N17,N36
0.000130,N0,N5
0.000129,N2,N6
0.000128,N6,N35
0.000126,N17,N33
0.000126,N17,N25
0.000123,N21,N29
0.000114,N27,N38
0.000113,N1,M0P1
0.000112,N14,N19
0.000112,N11,N19
